NO CLIENTE,FACTURA,NOMBRE DEL CLIENTE,DESTINO,PROGRAMACION,ESTATUS,FECHA DE ENVIO,SURTIDOR,CAJAS,PAQUETERIA,INCIDENCIA
C09569,238409,HOTEL POSADA DEL ANGEL,"MINERAL DE LA REFORMA, HID",14/05/2026,ENVIADO,14/05/2026,KEVIN,5,TRES GUERRAS,
C08692,238410,ANAIS JAZMIN ROSAS ESPARZA,"TLAJOMULCO DE ZUÃƑÆ‘Ã†Â€˜ÃƑÂ€ŠÃ‚Â€ŠÂ¬Ã‹Å’IGA, JAL",14/05/2026,ENVIADO,14/05/2026,FELIX,2,CLIENTE PASA,
C08241,238411,VOCO HERMOSILLO (HERMX),"HERMOSILLO, SON",14/05/2026,ENVIADO,14/05/2026,FELIX,5,TINY,
C06384,238412,FAIRFIELD INN & SUITES AGUASCALIENTES,"AGUASCALIENTES, AGS",14/05/2026,ENVIADO,14/05/2026,KEVIN,10,,
C00607,238413,HOLIDAY INN MONTERREY NORTE (MTYMX),"SAN NICOLAS DE LOS GARZA, NL",14/05/2026,PENDIENTE,,,10,,
C00607,238414,HOLIDAY INN MONTERREY NORTE (MTYMX),"SAN NICOLAS DE LOS GARZA, NL",14/05/2026,ENVIADO,14/05/2026,KEVIN,2,TRES GUERRAS,
C02514,238415,HOLIDAY INN MEXICO PLAZA UNIVERSIDAD A0210800 (MEXAA),"MEXICO, CMX",14/05/2026,ENVIADO,14/05/2026,KEVIN,9,ONE,
C02514,238416,HOLIDAY INN MEXICO PLAZA UNIVERSIDAD A0210800 (MEXAA),"MEXICO, CMX",14/05/2026,ENVIADO,14/05/2026,KEVIN,1,ONE,
C07197,238417,CITY EXPRESS CELAYA GALERIAS (CECEG),"CELAYA, GTO",14/05/2026,PENDIENTE,,,1,,
C07197,238418,CITY EXPRESS CELAYA GALERIAS (CECEG),"CELAYA, GTO",14/05/2026,ENVIADO,14/05/2026,KEVIN,3,TRES GUERRAS,
C08334,238419,AVID FRESNILLO (ZCLAV),"FRESNILLO, ZAC",14/05/2026,ENVIADO,14/05/2026,KEVIN,1,TRES GUERRAS,ENVIADA CON  238777
C04913,238420,PRESIDENTE INTERCONTINENTAL COZUMEL,"COZUMEL, QR",14/05/2026,PENDIENTE,,,3,,
C07819,238421,SECRETS AKUMAL RIVIERA MAYA (SEARM) A0099126,"TULUM, QR",14/05/2026,PENDIENTE,,,3,,
C07879,238422,HOLIDAY INN EXPRESS & SUITES MONTERREY SENDERO NORTE,"CDAD. GRAL. ESCOBEDO, NL",14/05/2026,PENDIENTE,,,12,,
C08202,238423,INMOBILIARIA DE LAS RIAS BAJAS SA DE CV,"CULIACAN, SIN",14/05/2026,ENVIADO,14/05/2026,FELIX,6,TINY,
C05113,238424,SLEEP INN MAZATLAN (143229),"MAZATLAN, SIN",14/05/2026,ENVIADO,14/05/2026,FELIX,12,TINY,
C01573,238425,FIESTA INN OAXACA (FIOAX),"OAXACA, OAX",14/05/2026,ENVIADO,14/05/2026,KEVIN,2,TRES GUERRAS,
C02469,238426,DISTRIBUIDORA M Y G S DE R L,"SAN PEDRO SULA, CORTES HONDURAS, HON",14/05/2026,PENDIENTE,,,551,,
C09312,238427,HOTEL CACTUS INN,"LOS CABOS, BCS",14/05/2026,ENVIADO,14/05/2026,KEVIN,6,TRES GUERRAS,
C08591,238428,HOTEL REAL PLAZA,"AGUASCALIENTES, AGS",14/05/2026,ENVIADO,14/05/2026,KEVIN,40,ONE,
C04151,238429,"HILTON CANCUN MAR CARIBE ALL-INCLUSIVE RESORT, MX (CUNMC)","BENITO JUAREZ, QR",14/05/2026,PENDIENTE,,,6,,
C08018,238430,HYATT SALTILLO,"SALTILLO, COA",14/05/2026,PENDIENTE,,,1,,
C08018,238431,HYATT SALTILLO,"SALTILLO, COA",14/05/2026,ENVIADO,14/05/2026,KEVIN,2,TRES GUERRAS,
C07627,238432,CITY EXPRESS PLUS SAN LUIS POTOSI (CPSLP),"SAN LUIS POTOSI, SLP",14/05/2026,ENVIADO,14/05/2026,KEVIN,18,TRES GUERRAS,
C09769,238433,OLIVIA VERONICA ZARATE HIDALGO,"SAN CRISTOBAL DE LAS CASAS, CHS",14/05/2026,ENVIADO,14/05/2026,KEVIN,1,TRES GUERRAS,
C08464,238434,"HILTON GARDEN INN BOCA DEL RIO, VERACRUZ MEXICO (VERBR)","BOCA DEL RIO VERACRUZ, VER",14/05/2026,ENVIADO,14/05/2026,KEVIN,6,TRES GUERRAS,
C08164,238435,VILLAS DEL PALMAR FLAMINGOS,"NUEVO VALLARTA, NAY",14/05/2026,ENVIADO,14/05/2026,FELIX,7,SANCHEZ,
C09628,238436,RESIDENCE INN CANCUN BY MARRIOTT A0165857 (2614 - SOLAYA HOTEL RES INN PLAYA),"CANCUN, QR",14/05/2026,PENDIENTE,,,40,,
C03880,238437,HOTEL QUINTA SAN CARLOS,"GUADALAJARA, JAL",14/05/2026,PENDIENTE,,,3,,
C09592,238438,ESCENCIA HOTELERA,"MANZANILLO, COL",14/05/2026,ENVIADO,14/05/2026,KEVIN,1,TRES GUERRAS,ENVIADO CON 238438
C07266,238439,CITY EXPRESS VERACRUZ (CEVER),"BOCA DEL RIO, VER",14/05/2026,PENDIENTE,,,22,,
C05633,238440,HOTEL AGUILA REAL,"NICOLAS ROMERO, MEX",14/05/2026,ENVIADO,14/05/2026,KEVIN,4,TRES GUERRAS,
